,Clean Ingredients
46,"['mint', 'extra virgin olive oil', 'red chilli', 'lemon juice', 'balsamic vinegar', 'watermelon', 'blanched almond', 'shallot', 'garlic', 'breadcrumb', 'bread', 'caper']"
47,"['ground coriander', 'chilli', 'garlic clove', 'tahini', 'smoked paprika', 'onion', 'sunflower oil', 'white cabbage', 'garlic sauce', 'lamb', 'ground cumin', 'chopped tomato', 'breadcrumb', 'dried oregano', 'bread']"
48,"['cauliflower', 'olive oil', 'black olive', 'smoked paprika', 'parsley', 'almond', 'roasted red pepper', 'red wine vinegar', 'caper']"
49,"['garlic clove', 'egg', 'ground cinnamon', 'black sesame seed', 'lamb', 'ground cumin', 'plain flour', 'lemon', 'coriander', 'ground ginger', 'puff pastry', 'harissa']"
50,"['mascarpone', 'egg', 'ground almond', 'icing sugar', 'butter', 'double cream', 'lemon juice', 'blackberry', 'strawberry', 'rose water', 'lemon', 'raspberry', 'caster sugar', 'almond extract', 'flour', 'plain yogurt']"
51,"['white wine vinegar', 'olive oil', 'onion', 'horseradish sauce', 'cream', 'mayonnaise', 'lemon', 'mustard', 'shallot', 'spring onion', 'potato']"
52,"['mascarpone', 'icing sugar', 'nectarine', 'double cream', 'blackberry', 'vanilla extract', 'passion fruit', 'mango', 'raspberry', 'mint leaf', 'puff pastry']"
53,"['cheddar', 'avocado', 'cream', 'tortilla chip', 'black bean', 'tomato salsa', 'red pepper']"
54,"['cucumber', 'mango chutney', 'red onion', 'bean', 'coriander', 'burger bun', 'tomato']"
55,"['mint leaf', 'cucumber', 'caster sugar', 'gin']"
56,"['olive oil', 'tarragon', 'spinach leaf', 'roasted hazelnut', 'nectarine', 'thyme leaf', 'sourdough', 'ricotta', 'dijon mustard', 'chervil', 'lemon', 'basil', 'prosciutto', 'caper']"
57,"['gelatine', 'double cream', 'sweet sherry', 'raspberry', 'custard', 'caster sugar', 'almond', 'cake']"
58,"['white wine vinegar', 'icing sugar', 'double cream', 'strawberry', 'egg white', 'caster sugar', 'cornflour', 'vanilla extract']"
59,"['gelatine', 'egg yolk', 'lime', 'double cream', 'strawberry', 'milk', 'caster sugar', 'granulated sugar', 'wine']"
60,"['mascarpone', 'icing sugar', 'coconut cream', 'flaked coconut', 'lime', 'double cream', 'coconut rum', 'mango']"
61,"['caster sugar', 'lemon']"
62,"['icing sugar', 'meringue', 'butter', 'lime', 'double cream', 'lemon', 'caster sugar', 'gin', 'biscuit', 'cream cheese']"
63,"['icing sugar', 'food colouring', 'strawberry jam', 'double cream', 'strawberry', 'pistachio']"
64,"['granulated sugar', 'raspberry', 'lemon']"
65,"['dark chocolate', 'coconut oil', 'coffee ice cream', 'vanilla ice cream', 'vegetable oil']"
66,"['hazelnut', 'chocolate', 'caramel ice cream']"
67,"['unsalted butter', 'egg', 'icing sugar', 'egg yolk', 'double cream', 'lemon verbena', 'milk', 'plain flour', 'lemon', 'caster sugar']"
68,"['coffee ice cream', 'coffee bean', 'caramel']"
69,"['oregano', 'olive oil', 'mint', 'red onion', 'chickpea', 'crusty bread', 'lemon', 'garlic', 'feta cheese', 'chicken', 'red pepper']"
70,"['thyme leaf', 'parsley', 'rapeseed oil', 'caraway seed', 'leg of lamb']"
71,"['sherry vinegar', 'spinach leaf', 'onion', 'sunflower oil', 'duck', 'smoked bacon', 'sage leaf', 'potato', 'sea salt']"
72,"['olive oil', 'red chilli', 'chicken thigh', 'lemon', 'chicken stock', 'garlic', 'basil leaf', 'potato']"
73,"['tamarind pulp', 'lowfat yogurt', 'ground cumin', 'coriander', 'new potato', 'ginger', 'muscovado sugar']"
74,"['jasmine rice', 'rice wine vinegar', 'pepper', 'toasted sesame seed', 'duck', 'sesame oil', 'honey', 'hoisin sauce', 'peach', 'ginger', 'fivespice powder', 'sea salt']"
75,"['white wine vinegar', 'olive oil', 'asparagus spear', 'red onion', 'balsamic vinegar', 'lemon', 'coriander', 'thyme', 'artichoke', 'spring onion', 'star anise', 'chive', 'salad']"
76,"['olive oil', 'mayonnaise', 'new potato', 'caster sugar', 'parsley', 'spring onion', 'sundried tomato']"
77,"['garlic clove', 'butter', 'carrot', 'red chilli', 'lemon', 'rosemary', 'chicken']"
78,"['olive oil', 'sweet potato', 'red onion', 'thyme leaf', 'lamb', 'pepper', 'mint leaf']"
79,"['olive oil', 'orange', 'red chilli', 'shallot', 'beef', 'red wine vinegar']"
80,"['garlic clove', 'olive oil', 'orange', 'pepper', 'parsley', 'red wine vinegar', 'caper']"
81,"['goat cheese', 'leek', 'spinach', 'vegetable', 'rye bread', 'basil', 'rapeseed oil', 'boiling water']"
82,"['egg', 'sesame oil', 'sweetcorn', 'ramen noodle', 'chicken stock', 'pea', 'cooked chicken']"
83,"['garlic clove', 'olive oil', 'plum tomato', 'marmite', 'onion', 'crusty bread', 'parmesan', 'basil', 'dried oregano']"
84,"['mint', 'cinnamon stick', 'chicken breast', 'red chilli', 'kaffir lime', 'shallot', 'carrot', 'fish sauce', 'lime', 'vegetable oil', 'spring onion', 'garlic clove', 'vegetable', 'coriander', 'black peppercorn', 'ginger', 'star anise', 'lemongrass', 'chicken stock', 'caster sugar', 'mung bean', 'five spice', 'rice noodle']"
85,"['chestnut mushroom', 'mint', 'leek', 'marmite', 'red chilli', 'salted peanut', 'soy sauce', 'sriracha', 'vegetable oil', 'rice noodle']"
86,"['garlic clove', 'frozen pea', 'pesto', 'macaroni', 'fennel bulb', 'frond', 'crusty bread', 'pancetta', 'chicken stock', 'spring onion', 'fennel seed']"
87,"['garlic clove', 'mushroom', 'sunflower oil', 'noodle', 'soy sauce', 'boneless chicken thigh', 'sriracha', 'peanut butter', 'honey', 'chicken stock', 'cabbage', 'ginger']"
88,"['chilli', 'sherry vinegar', 'garlic clove', 'mint', 'cucumber', 'extra virgin olive oil', 'avocado', 'baby spinach', 'yogurt', 'ice cube', 'basil', 'pea', 'parsley', 'spring onion']"
89,"['garlic clove', 'olive oil', 'cucumber', 'carrot', 'onion', 'red chilli', 'vegetable stock', 'yogurt', 'chopped tomato', 'mint leaf', 'water', 'red pepper']"
90,"['garlic clove', 'olive oil', 'leek', 'crusty bread', 'vegetable stock', 'celery', 'basil', 'broad bean', 'asparagus', 'pea']"
91,"['pesto', 'olive oil', 'baby spinach', 'parmesan', 'chicken stock cube', 'rice', 'basmati rice', 'frozen pea']"
92,"['olive oil', 'garam masala', 'orange', 'carrot', 'onion', 'coconut milk', 'vegetable stock', 'bean', 'coriander', 'ginger']"
93,"['olive oil', 'tarragon', 'spinach', 'filo', 'chicken thigh', 'pastry', 'chicken stock', 'mustard', 'parsley', 'spring onion', 'frozen pea']"
